Afburðanemandi,Exceptional student,Troubled student,Top Applicant,Judge
Afeitrun,Detox,Medical treatment,Understanding,Lack of time
Afgangur,Remainder,Hallway,Rooftop,City limits
Afgerandi,Decisive,Limiting,Thought-provoking,Flimsy
Afgirtur,Fenced off,Untidy,Brightly coloured,Shining
Afgreiðsluborð,Counter,Surgical table,Gateway,Fencepost
Afhendingardagur,Delivery date,Deadline,Landing place,Corn field
Afhjúpa,Expose,Cover,Paint,Plaster
Afhýða,Peel,Expose,Stretch,Comprehend
Afkastalítill,Unproductive,Weak,Cross-eyed,Damp
Afkastamikill,Productive,Efficient,Shy,Clumsy
Afklæðast,Undress,Upholster,Seduce,Instruct
Aflabrestur,Fishing failure,Cracked gunwale,Flawed argument,Putty
Aflaheimild,Fishing permission,Hunting licence,Catalogue,Hearing aid
Aflangur,Oblong,Lengthy,Interesting,Fragile
Aflausn,Absolution,Execution,Confirmation,Solution
Aflaverðmæti,Catch value,Cost of living,Psychiatric treatment,Final offer
Afleggjari,Secondary road,Decommissioned route,Coastline,Hillock
Afleiðing,Consequence,Connection,Mistake,Liability
Afleysingamaður,Substitute,Part-time aid,Supervisor,Barrister
Aflraunamaður,Strongman,Bouncer,Scribe,Layman
Aflögufær,Have something to spare,Have something to fix,Unreliable,Limitless
