Aðalbækistöðvar,Headquarters,Doorway,Lorry,Committee
Aðalréttur,Main course,Minor error,Mountain,Husband
Afsökunarbeiðni,Request for apology,User manual,Book of recipes,Litter of puppies
Aðfangadagskvöld,Christmas eve,Winding road,Narrow valley,End of the month
Aðferðafræði,Methodology,Amperage,Fence,Lighthouse
Aðframkominn,Exhausted,Fashionable,Limited,Silly
Aðgangsharður,Aggressive,Irritated,Uneducated,Hungry
Aðgerðaleysi,Inaction,Lack of limits,Loneliness,Forgetfulness
Aðgöngumiði,Admission ticket,Spare tire,Backdoor,Afternoon
Aðhlátursefni,The subject of ridicule,Alphabetical order,Unsolved crime,Border dispute
Aðildarumsókn,Membership application,Marriage license,High school diploma,Criminal record
Aðkomumaður,Stranger,Student,Mechanic,Illustrator
Aðlögunarhæfni,Adaptability,Claustrophobia,Laziness,Procrastination
Aðsetursskipti,Change of address,Membership application,Driver's license,Request extension
Aðskotahlutur,Foreign object,Loyal supporter,Limited access,Hailstorm
Aðstoðarflugmaður,Co-pilot,Additional forces,Minor player,Junky
Aðventukrans,Christmas wreath,Candlelight,Cardamoms,Commonalities
Aðþrengdur,In difficult straits,On leave,Retired,Of no interest
Afbrigðilegur,Abnormal,Transparent,Freezing,Salty
Afturhjóladrif,Rear-wheel drive,Bicycle,Roof-top window,Mountain top
