Aðdáendaklúbbur,Fan club,Collectors club,Mourners association,Maritime association 
Afstæðiskenning,Theory of relativity,Isolated teachings,Independent teachings,Obsolete theory
Aftakaveður,Furious weather,Weather forecast,Not weather to speak of,Weather calming down
Aftanákeyrsla,Rear-ending,Rear driveway, Rear entrance,  Reverse gear
Afturhjól,Rear wheel,Spare tire,Front wheel,Unicycle
Afturhjóladrif,Rear-wheel drive,Four-wheel drive,All-wheel drive,Front-wheel drive
Afur,Product,Result,Decision,Consequences
Afþakka,Decline,Insult,Abolish,Neglect
Afþreying,Amusement,Argument,Exhaustion,Long wait
Afþreyingarbókmenntir,Popular literature,Banned literature,Literary theory,Rhetoric
Afþurrkunarklútur,Dusting cloth,Handkerchief,Napkin,Tablecloth
Aganefnd,Disciplinary committee,Law committee,Nick name,Surname
Agnarlítill,Tiny,Shrinking,New-borne,Dwarf
Akbraut,Roadway,Pavement,Pedestrian crossing,Path
Akstursíþrótt,Motorsport,Triathlon,Speed bump,Reckless driving 
Akurhæna,Game hen,Partridge,Chicken,Ptarmigan
Akuryrkja,Agriculture,Freelancing,Pastoral poetry,Game hen 
Aldagamall,Ancient,100 years old,Born yesterday,Of unknown age
Aldamót,Turn of the century,New-years,Reunion,Ocean surge 
Aldarafmæli,Centennial,Millennial,50th anniversary,10th anniversary
Aldingarður,Orchard,Herb garden,Field,Graveyard
Aldurshópur,Age group,Senior citizens,Target group,Underage population
Aleiga,Entire possessions,No possessions,Equipment rental,Yearly rental
Aleinn,Alone,Not alone,Never alone,Aluminium rod
Alelda,Ablaze,Flammable,Flame-retardant,Pre-cooked
