Afmælisbarn,Birthday child,New-born baby,Illegitimate offspring,Teenager
Afmælisdagur,Birthday,Doomsday,Deadline,End of month
Afmælisveisla,Birthday party,Funeral gathering,Retirement feast,Dinnertime
Afneita,Renounce,Refuse,Object,Agree
Afnotaréttur,Right of use,Right of way,Highland pasture,Heath
Afpöntun,Cancellation,Order,Home delivery,Menu
Afrakstur,Profits,Loss,Close shave,Understanding
Afráða,Determine,Execute,Cancel,Alert
Afrek,Achievement,Mistake,Demand,Inquiry
Afreksmaður,Achiever,Failure,Criminal,Accountant
Afrétt,Highland pasture,Corral,Fields,Playground
Afréttari,Hair of the dog,Hair straightener,Lever,Crowbar
Afrískur,African,Not well,healthy,limitless
Afrækja,Neglect,Protect,Renounce,Include
Afsaka,Excuse,Accuse,Release,Hinder
Afsanna,Disprove,Verify,Support,Divide
Afskiptaleysi,Indifference,Inability,Lack of division,Partiality
Afskiptasamur,Meddlesome,Divisive,Argumentative,Jealous
Afskráning,Deregistration,Registration,Reregistration,Selection
Afslappaður,Relaxed,Undressed,Slapped,Tired
Afsláttarmiði,Coupon,Admission ticket,One-time offer,Attraction
Afslöppun,Relaxation,Detox,Assault,Treatment
Afstaða,Position,Retirement,Starting point,Goal
Afstaðinn,Finished,Retired,Incomplete,Unclear
